City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Gnjilane,XK,42.4604,21.4699,281.15,81,75,1.76,broken clouds
337,Oriximina,BR,-1.7656,-55.8661,306.17,48,67,1.53,broken clouds
338,Akyab,MM,20.15,92.9,290.03,58,1,5.41,clear sky
339,Asau,RO,46.4333,26.4,272.04,68,48,1.08,light snow
340,The Valley,AI,18.217,-63.0578,302.15,65,20,8.23,few clouds
341,Malinovoye Ozero,RU,51.6753,79.7825,260.26,94,0,1.5,clear sky
342,Otavi,NA,-19.65,17.3333,299.36,49,71,1.14,broken clouds
343,Klaksvik,FO,62.2266,-6.589,272.15,86,63,11.65,light snow
344,Vikhorevka,RU,56.1201,101.1636,241.15,75,100,2.0,overcast clouds
345,Pullman,US,46.7313,-117.1796,280.37,56,20,6.17,few clouds
346,Kodiak,US,57.79,-152.4072,271.15,64,1,3.6,clear sky
347,General Roca,AR,-39.0333,-67.5833,297.15,38,40,1.03,moderate rain
348,Kruisfontein,ZA,-34.0033,24.7314,291.48,65,77,2.68,broken clouds
349,Srivardhan,IN,18.0333,73.0167,298.46,58,10,2.23,clear sky
